,nfetPhig,pfetPhig,capacitance,voltage,finsNumber,tphL,tplH,energy,temperature,finLength,finHeight
182,-0.2677,0.215,1e-15,0.6,2,1.824961e-11,8.746445e-12,-5.718308e-15,125.0,2.1e-08,3.2e-08
183,1.6757,0.8946,1e-15,0.6,2,1.532386e-11,1.212312e-11,-5.639396e-15,125.0,2.1e-08,3.2e-08
184,0.2014,1.0447,1e-15,0.6,2,1.501533e-11,9.372408e-12,-5.584185e-15,125.0,2.1e-08,3.2e-08
185,-1.7987,2.7742,1e-15,0.6,2,1.233906e-11,7.087009e-12,-5.682545e-15,125.0,2.1e-08,3.2e-08
186,0.656,-1.2719,1e-15,0.6,2,2.219358e-11,1.00503e-11,-5.579286e-15,125.0,2.1e-08,3.2e-08
187,-0.4937,0.4482,1e-15,0.6,2,1.615497e-11,8.472132e-12,-5.641876e-15,125.0,2.1e-08,3.2e-08
188,0.3209,1.4379,1e-15,0.6,2,1.422947e-11,9.544551e-12,-5.624138e-15,125.0,2.1e-08,3.2e-08
189,-0.5189,-0.378,1e-15,0.6,2,1.955232e-11,8.439192e-12,-5.683497e-15,125.0,2.1e-08,3.2e-08
190,0.5518,0.3415,1e-15,0.6,2,1.800173e-11,9.890888e-12,-5.58639e-15,125.0,2.1e-08,3.2e-08
191,0.29,-0.1841,1e-15,0.6,2,1.931961e-11,9.49634e-12,-5.604161e-15,125.0,2.1e-08,3.2e-08
192,0.8485,-0.7446,1e-15,0.6,2,2.071669e-11,1.037039e-11,-5.702621e-15,125.0,2.1e-08,3.2e-08
193,-1.2438,0.6697,1e-15,0.6,2,1.754053e-11,7.641347e-12,-5.590728e-15,125.0,2.1e-08,3.2e-08
194,0.6131,-1.1911,1e-15,0.6,2,2.257889e-11,9.982223e-12,-5.597401e-15,125.0,2.1e-08,3.2e-08
195,0.3824,0.9694,1e-15,0.6,2,1.577512e-11,9.634464e-12,-5.655482e-15,125.0,2.1e-08,3.2e-08
