,1,2,LoadCap,vdd,number_fin,index,temp,montecarlo_iteration,tphl,tplh,total_power,iint,temper,alter#
112,4.333498878,4.850896718,1f,0.6,2,33,25,3,7.58543e-12,9.96246e-12,-1.01117e-08,-6.74113e-16,25,1
113,4.407236791,4.856645244,1f,0.6,2,34,25,4,9.0761e-12,9.7938e-12,-1.00909e-08,-6.72725e-16,25,1
114,4.387795215,4.770993196,1f,0.6,2,35,25,5,8.61341e-12,1.37487e-11,-9.99726e-09,-6.66484e-16,25,1
115,4.327368287,4.944578681,1f,0.6,2,36,25,6,7.49527e-12,7.48219e-12,-1.02017e-08,-6.8011e-16,25,1
116,4.407029602,4.828899174,1f,0.6,2,37,25,7,9.06838e-12,1.08002e-11,-9.95669e-09,-6.6378e-16,25,1
117,4.346317455,4.844399261,1f,0.6,2,38,25,8,7.82684e-12,1.01935e-11,-1.01261e-08,-6.7507e-16,25,1
118,4.486196606,4.846298129,1f,0.6,2,39,25,9,1.13856e-11,1.01458e-11,-1.00646e-08,-6.70976e-16,25,1
119,4.321151336000001,4.765845872,1f,0.6,2,40,25,10,7.35881e-12,1.4044e-11,-1.00528e-08,-6.70188e-16,25,1
120,4.370066928,4.852864388,1f,0.6,2,41,50,1,8.31304e-12,1.00241e-11,-1.01697e-08,-6.77977e-16,50,1
121,4.370806412,4.873612049,1f,0.6,2,42,50,2,8.34319e-12,9.36617e-12,-1.01462e-08,-6.76413e-16,50,1
122,4.333498878,4.850896718,1f,0.6,2,43,50,3,7.63589e-12,1.00773e-11,-1.01892e-08,-6.79281e-16,50,1
123,4.407236791,4.856645244,1f,0.6,2,44,50,4,9.12628e-12,9.90623e-12,-1.00479e-08,-6.69863e-16,50,1
124,4.387795215,4.770993196,1f,0.6,2,45,50,5,8.66516e-12,1.37584e-11,-1.00422e-08,-6.69483e-16,50,1
125,4.327368287,4.944578681,1f,0.6,2,46,50,6,7.5494e-12,7.60761e-12,-1.04497e-08,-6.96649e-16,50,1
126,4.407029602,4.828899174,1f,0.6,2,47,50,7,9.11826e-12,1.09004e-11,-9.99031e-09,-6.66021e-16,50,1
127,4.346317455,4.844399261,1f,0.6,2,48,50,8,7.86166e-12,1.03049e-11,-1.00878e-08,-6.72522e-16,50,1
128,4.486196606,4.846298129,1f,0.6,2,49,50,9,1.1423e-11,1.02551e-11,-1.00399e-08,-6.69325e-16,50,1
129,4.321151336000001,4.765845872,1f,0.6,2,50,50,10,7.39289e-12,1.40409e-11,-1.02439e-08,-6.82927e-16,50,1
130,4.370066928,4.852864388,1f,0.6,2,51,75,1,8.35558e-12,1.01075e-11,-1.02533e-08,-6.83552e-16,75,1
131,4.370806412,4.873612049,1f,0.6,2,52,75,2,8.37286e-12,9.45784e-12,-1.02753e-08,-6.85019e-16,75,1
132,4.333498878,4.850896718,1f,0.6,2,53,75,3,7.67729e-12,1.01651e-11,-1.04987e-08,-6.99916e-16,75,1
133,4.407236791,4.856645244,1f,0.6,2,54,75,4,9.16494e-12,9.98928e-12,-1.0181e-08,-6.78731e-16,75,1
134,4.387795215,4.770993196,1f,0.6,2,55,75,5,8.70646e-12,1.37043e-11,-1.00747e-08,-6.71648e-16,75,1
135,4.327368287,4.944578681,1f,0.6,2,56,75,6,7.59777e-12,7.71581e-12,-1.08753e-08,-7.2502e-16,75,1
136,4.407029602,4.828899174,1f,0.6,2,57,75,7,9.15643e-12,1.09676e-11,-1.02794e-08,-6.85291e-16,75,1
137,4.346317455,4.844399261,1f,0.6,2,58,75,8,7.90505e-12,1.0386e-11,-1.04864e-08,-6.99096e-16,75,1
138,4.486196606,4.846298129,1f,0.6,2,59,75,9,1.14454e-11,1.0333e-11,-9.99722e-09,-6.66482e-16,75,1
139,4.321151336000001,4.765845872,1f,0.6,2,60,75,10,7.43523e-12,1.39682e-11,-1.06884e-08,-7.12558e-16,75,1
140,4.370066928,4.852864388,1f,0.6,2,61,90,1,8.37705e-12,1.01449e-11,-1.03154e-08,-6.87692e-16,90,1
141,4.370806412,4.873612049,1f,0.6,2,62,90,2,8.39636e-12,9.50164e-12,-1.02597e-08,-6.83982e-16,90,1
142,4.333498878,4.850896718,1f,0.6,2,63,90,3,7.69935e-12,1.02037e-11,-1.07705e-08,-7.18031e-16,90,1
143,4.407236791,4.856645244,1f,0.6,2,64,90,4,9.18496e-12,1.00264e-11,-1.02179e-08,-6.81195e-16,90,1
144,4.387795215,4.770993196,1f,0.6,2,65,90,5,8.7268e-12,1.36793e-11,-1.02128e-08,-6.80852e-16,90,1
145,4.327368287,4.944578681,1f,0.6,2,66,90,6,7.60987e-12,7.77151e-12,-1.13756e-08,-7.58375e-16,90,1
146,4.407029602,4.828899174,1f,0.6,2,67,90,7,9.1761e-12,1.09937e-11,-1.03029e-08,-6.8686e-16,90,1
147,4.346317455,4.844399261,1f,0.6,2,68,90,8,7.92678e-12,1.04216e-11,-1.04912e-08,-6.99415e-16,90,1
148,4.486196606,4.846298129,1f,0.6,2,69,90,9,1.14534e-11,1.03659e-11,-1.01303e-08,-6.75354e-16,90,1
149,4.321151336000001,4.765845872,1f,0.6,2,70,90,10,7.45741e-12,1.39558e-11,-1.10135e-08,-7.34231e-16,90,1
150,4.370066928,4.852864388,1f,0.6,2,71,100,1,8.39023e-12,1.01656e-11,-1.04568e-08,-6.97122e-16,100,1
151,4.370806412,4.873612049,1f,0.6,2,72,100,2,8.40845e-12,9.52672e-12,-1.05158e-08,-7.01052e-16,100,1
152,4.333498878,4.850896718,1f,0.6,2,73,100,3,7.71304e-12,1.02252e-11,-1.10603e-08,-7.37352e-16,100,1
153,4.407236791,4.856645244,1f,0.6,2,74,100,4,9.19688e-12,1.00471e-11,-1.0255e-08,-6.83669e-16,100,1
154,4.387795215,4.770993196,1f,0.6,2,75,100,5,8.73899e-12,1.36681e-11,-1.02146e-08,-6.80977e-16,100,1
155,4.327368287,4.944578681,1f,0.6,2,76,100,6,7.62776e-12,7.80485e-12,-1.18022e-08,-7.86815e-16,100,1
156,4.407029602,4.828899174,1f,0.6,2,77,100,7,9.18773e-12,1.1006e-11,-1.03207e-08,-6.88045e-16,100,1
157,4.346317455,4.844399261,1f,0.6,2,78,100,8,7.93923e-12,1.04406e-11,-1.08845e-08,-7.25636e-16,100,1
158,4.486196606,4.846298129,1f,0.6,2,79,100,9,1.1457e-11,1.03834e-11,-1.01359e-08,-6.75729e-16,100,1
159,4.321151336000001,4.765845872,1f,0.6,2,80,100,10,7.47099e-12,1.39283e-11,-1.1376e-08,-7.58402e-16,100,1
160,4.370066928,4.852864388,1f,0.6,3,1,-15,1,6.76785e-12,7.49871e-12,-1.04573e-08,-6.97151e-16,-15,1
161,4.370806412,4.873612049,1f,0.6,3,2,-15,2,6.76339e-12,7.0024e-12,-1.05433e-08,-7.0289e-16,-15,1
162,4.333498878,4.850896718,1f,0.6,3,3,-15,3,6.19431e-12,7.52771e-12,-1.03796e-08,-6.91974e-16,-15,1
163,4.407236791,4.856645244,1f,0.6,3,4,-15,4,7.39048e-12,7.42053e-12,-1.05159e-08,-7.0106e-16,-15,1
164,4.387795215,4.770993196,1f,0.6,3,5,-15,5,7.05212e-12,1.03792e-11,-1.04834e-08,-6.98894e-16,-15,1
165,4.327368287,4.944578681,1f,0.6,3,6,-15,6,6.10606e-12,5.64179e-12,-1.05318e-08,-7.02122e-16,-15,1
166,4.407029602,4.828899174,1f,0.6,3,7,-15,7,7.3911e-12,8.18131e-12,-1.03553e-08,-6.90353e-16,-15,1
167,4.346317455,4.844399261,1f,0.6,3,8,-15,8,6.38854e-12,7.70552e-12,-1.03306e-08,-6.88707e-16,-15,1
168,4.486196606,4.846298129,1f,0.6,3,9,-15,9,9.1532e-12,7.71748e-12,-1.04441e-08,-6.96275e-16,-15,1
