$DATA1 SOURCE='PrimeSim HSPICE' VERSION='S-2021.09-2 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
$index=1 is a nominal sample in Monte Carlo.
.TITLE '*inversor'
index,tphl,tplh,iint,temper,alter#
187, 1.195658e-11, 7.390725e-12,-1.563861e-15,   0.,3
188, 1.069890e-11, 6.533027e-12,-1.956402e-15,   0.,3
189, 1.089442e-11, 6.635553e-12,-1.852462e-15,   0.,3
190, 1.098337e-11, 6.425109e-12,-1.933681e-15,   0.,3
191, 1.197215e-11, 6.919725e-12,-1.664569e-15,   0.,3
192, 1.041903e-11, 6.192547e-12,-1.932059e-15,   0.,3
193, 1.136907e-11, 6.661029e-12,-1.759020e-15,   0.,3
194, 1.177316e-11, 6.420999e-12,-1.582146e-15,   0.,3
195, 1.154963e-11, 6.746873e-12,-1.752535e-15,   0.,3
196, 1.078284e-11, 6.488567e-12,-1.949711e-15,   0.,3
197, 1.143944e-11, 6.484359e-12,-1.836427e-15,   0.,3
198, 1.026872e-11, 5.916342e-12,-2.150843e-15,   0.,3
199, 1.046777e-11, 5.961906e-12,-2.015687e-15,   0.,3
200, 1.071033e-11, 6.603683e-12,-1.921189e-15,   0.,3
201, 1.189780e-11, 6.283315e-12,-1.603929e-15,   0.,3
202, 1.083230e-11, 6.403723e-12,-1.983631e-15,   0.,3
203, 1.014674e-11, 6.045784e-12,-2.167130e-15,   0.,3
204, 1.090440e-11, 6.314110e-12,-2.023952e-15,   0.,3
205, 1.112205e-11, 6.658984e-12,-1.802550e-15,   0.,3
206, 1.186684e-11, 5.868668e-12,-1.785451e-15,   0.,3
207, 1.124962e-11, 6.645019e-12,-1.784553e-15,   0.,3
208, 1.193154e-11, 6.151967e-12,-1.643641e-15,   0.,3
209, 1.225562e-11, 6.791976e-12,-1.610134e-15,   0.,3
210, 1.175105e-11, 6.500398e-12,-1.566650e-15,   0.,3
211, 1.080895e-11, 6.823757e-12,-1.821055e-15,   0.,3
212, 1.140168e-11, 6.877778e-12,-1.686797e-15,   0.,3
213, 1.129192e-11, 6.331216e-12,-1.946727e-15,   0.,3
214, 1.150219e-11, 6.344728e-12,-1.910330e-15,   0.,3
215, 1.182994e-11, 6.246576e-12,-1.623922e-15,   0.,3
216, 1.078069e-11, 6.614225e-12,-1.897618e-15,   0.,3
217, 1.030068e-11, 5.882276e-12,-2.154765e-15,   0.,3
218, 1.035405e-11, 5.916926e-12,-2.100359e-15,   0.,3
219, 1.149305e-11, 6.564182e-12,-1.785585e-15,   0.,3
220, 1.090803e-11, 6.682834e-12,-1.830834e-15,   0.,3
221, 1.033351e-11, 5.983262e-12,-2.073871e-15,   0.,3
222, 1.067898e-11, 6.271340e-12,-2.120350e-15,   0.,3
223, 1.128261e-11, 6.552447e-12,-1.817878e-15,   0.,3
224, 1.122228e-11, 6.186429e-12,-2.064359e-15,   0.,3
225, 1.118736e-11, 6.921664e-12,-1.713062e-15,   0.,3
226, 1.012376e-11, 5.765685e-12,-2.378313e-15,   0.,3
227, 1.179957e-11, 6.049427e-12,-1.701764e-15,   0.,3
228, 1.114473e-11, 6.399645e-12,-1.916351e-15,   0.,3
229, 1.143360e-11, 6.345412e-12,-1.921185e-15,   0.,3
230, 1.143681e-11, 6.729118e-12,-1.727524e-15,   0.,3
231, 1.114833e-11, 6.325200e-12,-1.965992e-15,   0.,3
232, 9.976387e-12, 6.097685e-12,-2.290207e-15,   0.,3
233, 1.115327e-11, 6.645824e-12,-1.801603e-15,   0.,3
234, 1.102412e-11, 6.590180e-12,-1.842727e-15,   0.,3
235, 1.192754e-11, 5.714609e-12,-1.888596e-15,   0.,3
236, 1.204263e-11, 6.473515e-12,-1.759934e-15,   0.,3
237, 1.127857e-11, 6.513282e-12,-1.836989e-15,   0.,3
238, 1.125140e-11, 5.858424e-12,-2.468115e-15,   0.,3
239, 1.197228e-11, 6.538098e-12,-1.827105e-15,   0.,3
240, 1.142737e-11, 6.731720e-12,-1.728281e-15,   0.,3
241, 1.095678e-11, 6.620841e-12,-1.843862e-15,   0.,3
242, 1.076789e-11, 6.758561e-12,-1.847809e-15,   0.,3
243, 1.047563e-11, 5.958414e-12,-2.013829e-15,   0.,3
244, 1.177004e-11, 5.891797e-12,-1.784732e-15,   0.,3
245, 1.090732e-11, 6.561778e-12,-1.881332e-15,   0.,3
246, 1.092513e-11, 6.553762e-12,-1.880809e-15,   0.,3
247, 1.093517e-11, 6.547678e-12,-1.881307e-15,   0.,3
248, 1.140356e-11, 6.385843e-12,-1.898570e-15,   0.,3
249, 1.172915e-11, 6.219006e-12,-1.646595e-15,   0.,3
250, 1.065635e-11, 6.203236e-12,-2.185354e-15,   0.,3
251, 1.095274e-11, 6.381467e-12,-1.967197e-15,   0.,3
252, 1.110709e-11, 6.418142e-12,-1.912429e-15,   0.,3
253, 1.036473e-11, 6.073063e-12,-2.011255e-15,   0.,3
254, 1.129503e-11, 6.559895e-12,-1.812507e-15,   0.,3
255, 1.155940e-11, 6.800184e-12,-1.730709e-15,   0.,3
256, 1.140706e-11, 6.482500e-12,-1.842174e-15,   0.,3
257, 1.027509e-11, 5.966972e-12,-2.116838e-15,   0.,3
258, 1.039538e-11, 6.603400e-12,-1.823891e-15,   0.,3
259, 1.096354e-11, 6.286232e-12,-2.029864e-15,   0.,3
260, 1.124929e-11, 6.482712e-12,-1.856959e-15,   0.,3
261, 1.046760e-11, 6.101361e-12,-1.946708e-15,   0.,3
262, 1.138828e-11, 6.074335e-12,-2.154914e-15,   0.,3
263, 1.215965e-11, 6.657274e-12,-1.665399e-15,   0.,3
264, 1.209078e-11, 6.723993e-12,-1.644690e-15,   0.,3
265, 1.145330e-11, 6.274447e-12,-1.970296e-15,   0.,3
266, 1.094086e-11, 6.589248e-12,-1.861012e-15,   0.,3
267, 1.171278e-11, 5.636299e-12,-1.990593e-15,   0.,3
268, 1.084727e-11, 6.485256e-12,-1.934368e-15,   0.,3
269, 1.066358e-11, 6.662415e-12,-1.910794e-15,   0.,3
270, 1.163596e-11, 5.866769e-12,-1.821138e-15,   0.,3
271, 1.144469e-11, 6.445920e-12,-1.856130e-15,   0.,3
272, 1.166206e-11, 6.139906e-12,-1.684694e-15,   0.,3
273, 1.108697e-11, 6.027443e-12,-2.255154e-15,   0.,3
274, 1.093657e-11, 6.943261e-12,-1.759060e-15,   0.,3
275, 1.091194e-11, 6.268070e-12,-2.056335e-15,   0.,3
276, 1.116955e-11, 6.494014e-12,-1.859913e-15,   0.,3
277, 1.138782e-11, 6.290049e-12,-1.966371e-15,   0.,3
278, 1.081782e-11, 6.714986e-12,-1.849848e-15,   0.,3
279, 1.089340e-11, 6.036418e-12,-2.285517e-15,   0.,3
280, 1.049916e-11, 6.277721e-12,-1.863513e-15,   0.,3
281, 1.180099e-11, 6.133758e-12,-1.667263e-15,   0.,3
282, 1.173140e-11, 6.125177e-12,-1.680229e-15,   0.,3
283, 1.105480e-11, 6.391571e-12,-1.938945e-15,   0.,3
284, 1.233635e-11, 6.568392e-12,-1.681073e-15,   0.,3
285, 1.166174e-11, 5.865672e-12,-1.817704e-15,   0.,3
286, 1.131769e-11, 6.462898e-12,-1.856589e-15,   0.,3
287, 1.082727e-11, 6.470214e-12,-1.947741e-15,   0.,3
288, 1.143984e-11, 6.511483e-12,-1.821883e-15,   0.,3
289, 1.177271e-11, 6.274111e-12,-1.622823e-15,   0.,3
290, 1.139901e-11, 6.274084e-12,-1.977062e-15,   0.,3
291, 1.128106e-11, 6.853033e-12,-1.714321e-15,   0.,3
292, 1.188950e-11, 5.928631e-12,-1.746816e-15,   0.,3
293, 1.043566e-11, 6.676298e-12,-1.790474e-15,   0.,3
294, 1.111141e-11, 6.530893e-12,-1.852230e-15,   0.,3
295, 1.135422e-11, 6.549709e-12,-1.809348e-15,   0.,3
296, 1.208152e-11, 6.253787e-12,-1.902996e-15,   0.,3
297, 1.083637e-11, 6.454055e-12,-1.954369e-15,   0.,3
298, 1.093208e-11, 6.521196e-12,-1.894884e-15,   0.,3
299, 1.106730e-11, 6.776608e-12,-1.772763e-15,   0.,3
300, 1.138821e-11, 6.527011e-12,-1.821676e-15,   0.,3
