 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
9
#Number of plot points
1000
#Number of Measures
3
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
iint,tphl,tplh,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
-1.29569e-15,8.193257e-12,1.576418e-11,-0.7176064,-0.804791,-0.6307839
-1.29559e-15,8.194115e-12,1.576563e-11,-0.7143674,-0.801473,-0.627621
-1.295488e-15,8.19528e-12,1.577147e-11,-0.7111359,-0.7981631,-0.6244648
-1.295434e-15,8.195571e-12,1.577197e-11,-0.7079119,-0.7948613,-0.6213155
-1.294973e-15,8.196171e-12,1.577497e-11,-0.7046951,-0.7915674,-0.618173
-1.294928e-15,8.19658e-12,1.577501e-11,-0.7014856,-0.7882814,-0.6150371
-1.294114e-15,8.19746e-12,1.57752e-11,-0.6982834,-0.7850032,-0.6119079
-1.293922e-15,8.200076e-12,1.577916e-11,-0.6950882,-0.7817327,-0.6087853
-1.293752e-15,8.201206e-12,1.577919e-11,-0.6919002,-0.77847,-0.6056691
-1.293482e-15,8.202153e-12,1.578051e-11,-0.6887192,-0.7752148,-0.6025594
-1.292775e-15,8.202366e-12,1.578216e-11,-0.6855451,-0.7719672,-0.5994561
-1.292568e-15,8.202662e-12,1.578377e-11,-0.6823779,-0.7687271,-0.5963592
-1.292451e-15,8.202869e-12,1.578595e-11,-0.6792176,-0.7654943,-0.5932685
-1.292326e-15,8.20322e-12,1.578646e-11,-0.676064,-0.7622689,-0.590184
-1.291558e-15,8.203466e-12,1.578727e-11,-0.6729172,-0.7590508,-0.5871058
-1.291167e-15,8.206736e-12,1.579222e-11,-0.6697769,-0.7558398,-0.5840336
-1.290961e-15,8.207167e-12,1.579412e-11,-0.6666433,-0.752636,-0.5809675
-1.290852e-15,8.20882e-12,1.579868e-11,-0.6635162,-0.7494393,-0.5779074
-1.290777e-15,8.208991e-12,1.579896e-11,-0.6603956,-0.7462497,-0.5748533
-1.290658e-15,8.209817e-12,1.58e-11,-0.6572814,-0.7430669,-0.5718051
-1.290564e-15,8.210005e-12,1.580327e-11,-0.6541736,-0.7398911,-0.5687627
-1.290489e-15,8.210091e-12,1.580563e-11,-0.651072,-0.7367221,-0.5657261
-1.290484e-15,8.210257e-12,1.580748e-11,-0.6479767,-0.7335599,-0.5626953
-1.2898e-15,8.211253e-12,1.580985e-11,-0.6448876,-0.7304044,-0.5596702
-1.28962e-15,8.211608e-12,1.581031e-11,-0.6418047,-0.7272555,-0.5566507
-1.289582e-15,8.212658e-12,1.581048e-11,-0.6387278,-0.7241132,-0.5536368
-1.288835e-15,8.214098e-12,1.581656e-11,-0.635657,-0.7209775,-0.5506285
-1.288756e-15,8.214986e-12,1.581718e-11,-0.6325922,-0.7178483,-0.5476257
-1.288182e-15,8.215721e-12,1.581948e-11,-0.6295333,-0.7147255,-0.5446283
-1.288072e-15,8.218542e-12,1.58206e-11,-0.6264802,-0.711609,-0.5416363
-1.287943e-15,8.218595e-12,1.582111e-11,-0.623433,-0.7084989,-0.5386497
-1.287863e-15,8.220565e-12,1.582154e-11,-0.6203916,-0.7053951,-0.5356684
-1.287811e-15,8.221348e-12,1.582217e-11,-0.6173559,-0.7022974,-0.5326924
-1.287562e-15,8.221548e-12,1.582605e-11,-0.6143259,-0.6992059,-0.5297216
-1.287562e-15,8.222414e-12,1.583215e-11,-0.6113015,-0.6961205,-0.526756
-1.287371e-15,8.22412e-12,1.583284e-11,-0.6082827,-0.6930412,-0.5237955
-1.287139e-15,8.224154e-12,1.583614e-11,-0.6052694,-0.6899679,-0.52084
-1.286985e-15,8.226994e-12,1.583839e-11,-0.6022616,-0.6869005,-0.5178897
-1.286871e-15,8.227182e-12,1.584066e-11,-0.5992593,-0.683839,-0.5149443
-1.286835e-15,8.228018e-12,1.584212e-11,-0.5962623,-0.6807833,-0.5120039
-1.286822e-15,8.229514e-12,1.584275e-11,-0.5932707,-0.6777335,-0.5090684
-1.286746e-15,8.229517e-12,1.584557e-11,-0.5902844,-0.6746894,-0.5061378
-1.286556e-15,8.230232e-12,1.585094e-11,-0.5873033,-0.6716509,-0.503212
-1.286464e-15,8.230292e-12,1.585134e-11,-0.5843275,-0.6686182,-0.500291
-1.28634e-15,8.231428e-12,1.585213e-11,-0.5813568,-0.665591,-0.4973747
-1.286289e-15,8.231963e-12,1.585224e-11,-0.5783913,-0.6625694,-0.4944632
-1.286173e-15,8.233114e-12,1.585317e-11,-0.5754308,-0.6595533,-0.4915563
-1.286062e-15,8.233371e-12,1.585357e-11,-0.5724753,-0.6565427,-0.488654
-1.285953e-15,8.233834e-12,1.5854e-11,-0.5695249,-0.6535375,-0.4857563
-1.285639e-15,8.233915e-12,1.585409e-11,-0.5665794,-0.6505376,-0.4828632
