,nmos_rvt:@:nfet_phig:@:IGNC,pmos_rvt:@:pfet_phig:@:IGNC,LoadCap,vdd,number_fin,t_fall_delay,t_rise_delay,t_fall_time,t_rise_time,temper
88,0.9223,-1.435,1f,0.6,1,1.704483e-11,4.804225e-11,2.826362e-11,6.857662e-11,100.0
89,-0.5781,-0.05277,1f,0.6,1,1.367256e-11,3.297826e-11,2.443076e-11,4.668355e-11,100.0
90,0.9878,0.4383,1f,0.6,1,1.832819e-11,2.956674e-11,2.87893e-11,4.411885e-11,100.0
91,0.7875,0.518,1f,0.6,1,1.752913e-11,2.941903e-11,2.801535e-11,4.343124e-11,100.0
92,-0.6764,0.3506,1f,0.6,1,1.351829e-11,3.086384e-11,2.417279e-11,4.863391e-11,100.0
93,-0.2638,0.3708,1f,0.6,1,1.442324e-11,3.076816e-11,2.487012e-11,4.856243e-11,100.0
94,0.1919,0.6274,1f,0.6,1,1.557264e-11,2.980565e-11,2.455494e-11,4.375264e-11,100.0
95,-0.5351,1.532,1f,0.6,1,1.355538e-11,2.542728e-11,2.48415e-11,3.961115e-11,100.0
96,-0.6454,1.4374,1f,0.6,1,1.374785e-11,2.577452e-11,2.39688e-11,4.006405e-11,100.0
97,0.196,-0.4051,1f,0.6,1,1.523297e-11,3.512247e-11,2.619817e-11,5.012801e-11,100.0
98,0.9222,-0.2628,1f,0.6,1,1.707692e-11,3.413685e-11,2.822997e-11,4.848647e-11,100.0
99,1.0165,-0.6328,1f,0.6,1,1.810841e-11,3.639624e-11,2.944073e-11,5.203072e-11,100.0
100,0.0,0.0,1f,0.6,1,1.445786e-11,3.192341e-11,2.487508e-11,4.454466e-11,75.0
101,-0.8014,-0.8294,1f,0.6,1,1.317176e-11,3.728099e-11,2.034808e-11,5.303472e-11,75.0
102,-0.2677,0.215,1f,0.6,1,1.38827e-11,3.080211e-11,2.43718e-11,4.808399e-11,75.0
103,1.6757,0.8946,1f,0.6,1,1.88987e-11,2.690411e-11,3.136773e-11,3.993181e-11,75.0
104,0.2014,1.0447,1f,0.6,1,1.481527e-11,2.65903e-11,2.544798e-11,3.923796e-11,75.0
105,-1.7987,2.7742,1f,0.6,1,1.122908e-11,2.271321e-11,2.070147e-11,3.474315e-11,75.0
106,0.656,-1.2719,1f,0.6,1,1.596009e-11,4.087671e-11,2.622656e-11,6.034049e-11,75.0
107,-0.4937,0.4482,1f,0.6,1,1.376539e-11,2.911383e-11,2.11314e-11,4.27675e-11,75.0
108,0.3209,1.4379,1f,0.6,1,1.505095e-11,2.51667e-11,2.577078e-11,3.909572e-11,75.0
109,-0.5189,-0.378,1f,0.6,1,1.297462e-11,3.412571e-11,2.444002e-11,4.802999e-11,75.0
110,0.5518,0.3415,1f,0.6,1,1.584506e-11,3.179754e-11,2.569131e-11,4.609947e-11,75.0
111,0.29,-0.1841,1f,0.6,1,1.503486e-11,3.2951e-11,2.558567e-11,4.610496e-11,75.0
112,0.8485,-0.7446,1f,0.6,1,1.699356e-11,3.632643e-11,2.747529e-11,5.188932e-11,75.0
113,-1.2438,0.6697,1f,0.6,1,1.204117e-11,2.90283e-11,2.178258e-11,4.191134e-11,75.0
114,0.6131,-1.1911,1f,0.6,1,1.58671e-11,4.011139e-11,2.676392e-11,5.979784e-11,75.0
115,0.3824,0.9694,1f,0.6,1,1.519541e-11,2.688288e-11,2.589295e-11,3.959077e-11,75.0
116,-1.8849,0.6073,1f,0.6,1,1.124874e-11,2.812734e-11,1.9415e-11,4.171134e-11,75.0
117,0.8013,0.2451,1f,0.6,1,1.631851e-11,3.05711e-11,2.746088e-11,4.832693e-11,75.0
118,-1.3209,0.8362,1f,0.6,1,1.242784e-11,2.741759e-11,2.139887e-11,4.027121e-11,75.0
119,-2.4502,-1.2897,1f,0.6,1,1.024036e-11,4.100202e-11,1.897714e-11,6.085326e-11,75.0
120,0.4527,0.724,1f,0.6,1,1.591294e-11,2.775993e-11,2.716146e-11,4.088193e-11,75.0
