,nfetPhig,pfetPhig,capacitance,voltage,finsNumber,tplHa,tphLa,tplHb,tphLb,energy,temperature,finLength,finHeight
144,0.2014,1.0447,1e-15,0.6,2,1.103427e-11,2.190924e-11,1.12354e-11,2.047414e-11,-1.268769e-15,75.0,2.1e-08,3.2e-08
145,-1.7987,2.7742,1e-15,0.6,2,8.794482e-12,1.309719e-11,8.785855e-12,1.321216e-11,-1.574068e-15,75.0,2.1e-08,3.2e-08
146,0.656,-1.2719,1e-15,0.6,2,1.738196e-11,2.347843e-11,1.770607e-11,2.316702e-11,-1.239189e-15,75.0,2.1e-08,3.2e-08
147,-0.4937,0.4482,1e-15,0.6,2,1.218945e-11,1.707728e-11,1.242623e-11,1.814259e-11,-1.277859e-15,75.0,2.1e-08,3.2e-08
148,0.3209,1.4379,1e-15,0.6,2,1.033527e-11,2.104778e-11,1.062151e-11,2.229485e-11,-1.294986e-15,75.0,2.1e-08,3.2e-08
149,-0.5189,-0.378,1e-15,0.6,2,1.427627e-11,1.696285e-11,1.457787e-11,1.796064e-11,-1.273263e-15,75.0,2.1e-08,3.2e-08
150,0.5518,0.3415,1e-15,0.6,2,1.288852e-11,2.310169e-11,1.261869e-11,2.420531e-11,-1.268211e-15,75.0,2.1e-08,3.2e-08
151,0.29,-0.1841,1e-15,0.6,2,1.419438e-11,2.217605e-11,1.39934e-11,2.214894e-11,-1.256613e-15,75.0,2.1e-08,3.2e-08
152,0.8485,-0.7446,1e-15,0.6,2,1.542151e-11,2.449772e-11,1.629878e-11,2.453244e-11,-1.234666e-15,75.0,2.1e-08,3.2e-08
153,-1.2438,0.6697,1e-15,0.6,2,1.1796e-11,1.454145e-11,1.200418e-11,1.473591e-11,-1.275976e-15,75.0,2.1e-08,3.2e-08
154,0.6131,-1.1911,1e-15,0.6,2,1.709188e-11,2.32993e-11,1.737111e-11,2.452321e-11,-1.250896e-15,75.0,2.1e-08,3.2e-08
155,0.3824,0.9694,1e-15,0.6,2,1.181477e-11,2.251838e-11,1.135143e-11,2.26597e-11,-1.261617e-15,75.0,2.1e-08,3.2e-08
156,-1.8849,0.6073,1e-15,0.6,2,1.216697e-11,1.28626e-11,1.214531e-11,1.297824e-11,-1.30292e-15,75.0,2.1e-08,3.2e-08
157,0.8013,0.2451,1e-15,0.6,2,1.301532e-11,2.423525e-11,1.28317e-11,2.423818e-11,-1.264618e-15,75.0,2.1e-08,3.2e-08
158,-1.3209,0.8362,1e-15,0.6,2,1.148702e-11,1.427201e-11,1.170434e-11,1.463417e-11,-1.296697e-15,75.0,2.1e-08,3.2e-08
159,-2.4502,-1.2897,1e-15,0.6,2,1.77689e-11,1.159275e-11,1.814994e-11,1.175506e-11,-1.335006e-15,75.0,2.1e-08,3.2e-08
160,0.0,0.0,1e-15,0.6,2,1.389598e-11,2.181111e-11,1.400759e-11,2.047982e-11,-1.253749e-15,100.0,2.1e-08,3.2e-08
161,-0.8014,-0.8294,1e-15,0.6,2,1.61137e-11,1.665365e-11,1.668934e-11,1.709558e-11,-1.263324e-15,100.0,2.1e-08,3.2e-08
162,-0.2677,0.215,1e-15,0.6,2,1.325137e-11,1.884624e-11,1.329033e-11,1.902034e-11,-1.285599e-15,100.0,2.1e-08,3.2e-08
163,1.6757,0.8946,1e-15,0.6,2,1.163852e-11,3.396841e-11,1.205432e-11,3.462281e-11,-1.283843e-15,100.0,2.1e-08,3.2e-08
164,0.2014,1.0447,1e-15,0.6,2,1.128191e-11,2.250508e-11,1.149423e-11,2.243265e-11,-1.29533e-15,100.0,2.1e-08,3.2e-08
165,-1.7987,2.7742,1e-15,0.6,2,9.042882e-12,1.362811e-11,9.210397e-12,1.377153e-11,-1.780669e-15,100.0,2.1e-08,3.2e-08
