,nmos_rvt:@:nfet_phig:@:IGNC,pmos_rvt:@:pfet_phig:@:IGNC,LoadCap,vdd,number_fin,t_fall_delay,t_rise_delay,temper
181,-0.8014,-0.8294,1f,0.6,2,1.934643e-11,8.745372e-12,125.0
182,-0.2677,0.215,1f,0.6,2,1.862024e-11,8.974557e-12,125.0
183,1.6757,0.8946,1f,0.6,2,1.804228e-11,9.901349e-12,125.0
184,0.2014,1.0447,1f,0.6,2,1.805488e-11,9.18448e-12,125.0
185,-1.7987,2.7742,1f,0.6,2,1.504433e-11,8.350191e-12,125.0
186,0.656,-1.2719,1f,0.6,2,1.988539e-11,9.393214e-12,125.0
187,-0.4937,0.4482,1f,0.6,2,1.840613e-11,8.877003e-12,125.0
188,0.3209,1.4379,1f,0.6,2,1.656415e-11,9.239507e-12,125.0
189,-0.5189,-0.378,1f,0.6,2,1.903053e-11,8.865287e-12,125.0
190,0.5518,0.3415,1f,0.6,2,1.867917e-11,9.345758e-12,125.0
191,0.29,-0.1841,1f,0.6,2,1.905773e-11,9.223774e-12,125.0
192,0.8485,-0.7446,1f,0.6,2,1.944531e-11,9.485807e-12,125.0
193,-1.2438,0.6697,1f,0.6,2,1.817941e-11,8.565835e-12,125.0
194,0.6131,-1.1911,1f,0.6,2,1.98103e-11,9.373018e-12,125.0
195,0.3824,0.9694,1f,0.6,2,1.814847e-11,9.267441e-12,125.0
196,-1.8849,0.6073,1f,0.6,2,1.834078e-11,8.314212e-12,125.0
197,0.8013,0.2451,1f,0.6,2,1.876608e-11,9.46409e-12,125.0
198,-1.3209,0.8362,1f,0.6,2,1.67598e-11,8.535136e-12,125.0
199,-2.4502,-1.2897,1f,0.6,2,1.971801e-11,8.098766e-12,125.0
200,0.0,0.0,1f,0.6,2,1.66406e-11,8.555337e-12,75.0
201,-0.8014,-0.8294,1f,0.6,2,1.875812e-11,8.240046e-12,75.0
202,-0.2677,0.215,1f,0.6,2,1.626744e-11,8.44826e-12,75.0
203,1.6757,0.8946,1f,0.6,2,1.615326e-11,9.287756e-12,75.0
204,0.2014,1.0447,1f,0.6,2,1.551407e-11,8.638507e-12,75.0
205,-1.7987,2.7742,1f,0.6,2,1.514281e-11,7.875914e-12,75.0
206,0.656,-1.2719,1f,0.6,2,1.912807e-11,8.827744e-12,75.0
207,-0.4937,0.4482,1f,0.6,2,1.609897e-11,8.359703e-12,75.0
208,0.3209,1.4379,1f,0.6,2,1.52002e-11,8.688339e-12,75.0
209,-0.5189,-0.378,1f,0.6,2,1.831196e-11,8.349107e-12,75.0
210,0.5518,0.3415,1f,0.6,2,1.618092e-11,8.784681e-12,75.0
211,0.29,-0.1841,1f,0.6,2,1.680219e-11,8.674186e-12,75.0
212,0.8485,-0.7446,1f,0.6,2,1.863217e-11,8.911604e-12,75.0
213,-1.2438,0.6697,1f,0.6,2,1.600799e-11,8.075754e-12,75.0
214,0.6131,-1.1911,1f,0.6,2,1.905631e-11,8.809445e-12,75.0
215,0.3824,0.9694,1f,0.6,2,1.560047e-11,8.713684e-12,75.0
216,-1.8849,0.6073,1f,0.6,2,1.593532e-11,7.842317e-12,75.0
217,0.8013,0.2451,1f,0.6,2,1.629616e-11,8.891888e-12,75.0
218,-1.3209,0.8362,1f,0.6,2,1.586854e-11,8.04751e-12,75.0
219,-2.4502,-1.2897,1f,0.6,2,1.977065e-11,7.637876e-12,75.0
220,0.0,0.0,1f,0.6,2,1.597762e-11,8.445161e-12,25.0
221,-0.8014,-0.8294,1f,0.6,2,1.815307e-11,8.124424e-12,25.0
222,-0.2677,0.215,1f,0.6,2,1.575758e-11,8.336151e-12,25.0
223,1.6757,0.8946,1f,0.6,2,1.504461e-11,8.785189e-12,25.0
224,0.2014,1.0447,1f,0.6,2,1.506661e-11,8.529879e-12,25.0
225,-1.7987,2.7742,1f,0.6,2,1.38626e-11,7.756366e-12,25.0
226,0.656,-1.2719,1f,0.6,2,1.837278e-11,8.365607e-12,25.0
227,-0.4937,0.4482,1f,0.6,2,1.558349e-11,8.246004e-12,25.0
228,0.3209,1.4379,1f,0.6,2,1.474886e-11,8.580648e-12,25.0
229,-0.5189,-0.378,1f,0.6,2,1.773209e-11,8.235254e-12,25.0
230,0.5518,0.3415,1f,0.6,2,1.753648e-11,8.326193e-12,25.0
231,0.29,-0.1841,1f,0.6,2,1.621314e-11,8.566094e-12,25.0
232,0.8485,-0.7446,1f,0.6,2,1.834495e-11,8.442148e-12,25.0
233,-1.2438,0.6697,1f,0.6,2,1.536909e-11,7.957761e-12,25.0
234,0.6131,-1.1911,1f,0.6,2,1.830547e-11,8.348889e-12,25.0
235,0.3824,0.9694,1f,0.6,2,1.511975e-11,8.606349e-12,25.0
236,-1.8849,0.6073,1f,0.6,2,1.550297e-11,7.722876e-12,25.0
237,0.8013,0.2451,1f,0.6,2,1.757377e-11,8.424114e-12,25.0
238,-1.3209,0.8362,1f,0.6,2,1.52418e-11,7.929204e-12,25.0
239,-2.4502,-1.2897,1f,0.6,2,1.831496e-11,7.519693e-12,25.0
240,0.0,0.0,1f,0.6,2,1.57264e-11,8.279456e-12,0.0
241,-0.8014,-0.8294,1f,0.6,2,1.791523e-11,7.967353e-12,0.0
242,-0.2677,0.215,1f,0.6,2,1.556626e-11,8.173395e-12,0.0
243,1.6757,0.8946,1f,0.6,2,1.525278e-11,9.002296e-12,0.0
244,0.2014,1.0447,1f,0.6,2,1.484243e-11,8.361798e-12,0.0
245,-1.7987,2.7742,1f,0.6,2,1.354286e-11,7.606614e-12,0.0
246,0.656,-1.2719,1f,0.6,2,1.834006e-11,8.549009e-12,0.0
247,-0.4937,0.4482,1f,0.6,2,1.535886e-11,8.085656e-12,0.0
248,0.3209,1.4379,1f,0.6,2,1.454157e-11,8.411164e-12,0.0
249,-0.5189,-0.378,1f,0.6,2,1.619945e-11,8.075256e-12,0.0
250,0.5518,0.3415,1f,0.6,2,1.544842e-11,8.506387e-12,0.0
251,0.29,-0.1841,1f,0.6,2,1.59304e-11,8.39711e-12,0.0
252,0.8485,-0.7446,1f,0.6,2,1.798211e-11,8.631784e-12,0.0
253,-1.2438,0.6697,1f,0.6,2,1.521335e-11,7.804541e-12,0.0
254,0.6131,-1.1911,1f,0.6,2,1.826576e-11,8.530923e-12,0.0
255,0.3824,0.9694,1f,0.6,2,1.491502e-11,8.436199e-12,0.0
256,-1.8849,0.6073,1f,0.6,2,1.5189e-11,7.573866e-12,0.0
257,0.8013,0.2451,1f,0.6,2,1.551224e-11,8.61231e-12,0.0
258,-1.3209,0.8362,1f,0.6,2,1.508178e-11,7.776581e-12,0.0
259,-2.4502,-1.2897,1f,0.6,2,1.816509e-11,7.372726e-12,0.0
260,0.0,0.0,1f,0.6,2,1.556745e-11,8.132321e-12,-25.0
261,-0.8014,-0.8294,1f,0.6,2,1.777379e-11,7.827463e-12,-25.0
262,-0.2677,0.215,1f,0.6,2,1.537395e-11,8.0288e-12,-25.0
263,1.6757,0.8946,1f,0.6,2,1.507831e-11,8.837374e-12,-25.0
264,0.2014,1.0447,1f,0.6,2,1.458847e-11,8.212565e-12,-25.0
265,-1.7987,2.7742,1f,0.6,2,1.393813e-11,7.471656e-12,-25.0
266,0.656,-1.2719,1f,0.6,2,1.816593e-11,8.395315e-12,-25.0
267,-0.4937,0.4482,1f,0.6,2,1.515811e-11,7.943084e-12,-25.0
268,0.3209,1.4379,1f,0.6,2,1.431425e-11,8.260689e-12,-25.0
269,-0.5189,-0.378,1f,0.6,2,1.59325e-11,7.93299e-12,-25.0
270,0.5518,0.3415,1f,0.6,2,1.525992e-11,8.353647e-12,-25.0
271,0.29,-0.1841,1f,0.6,2,1.569904e-11,8.2471e-12,-25.0
272,0.8485,-0.7446,1f,0.6,2,1.766146e-11,8.47603e-12,-25.0
273,-1.2438,0.6697,1f,0.6,2,1.506138e-11,7.667499e-12,-25.0
274,0.6131,-1.1911,1f,0.6,2,1.808627e-11,8.377672e-12,-25.0
275,0.3824,0.9694,1f,0.6,2,1.469926e-11,8.285141e-12,-25.0
276,-1.8849,0.6073,1f,0.6,2,1.691463e-11,7.439449e-12,-25.0
277,0.8013,0.2451,1f,0.6,2,1.534704e-11,8.456972e-12,-25.0
278,-1.3209,0.8362,1f,0.6,2,1.492488e-11,7.639946e-12,-25.0
279,-2.4502,-1.2897,1f,0.6,2,1.802133e-11,7.239101e-12,-25.0
280,0.0,0.0,1f,0.6,3,1.237254e-11,6.615442e-12,50.0
281,-0.8014,-0.8294,1f,0.6,3,1.288299e-11,6.365762e-12,50.0
282,-0.2677,0.215,1f,0.6,3,1.230702e-11,6.530748e-12,50.0
283,1.6757,0.8946,1f,0.6,3,1.171864e-11,7.198129e-12,50.0
284,0.2014,1.0447,1f,0.6,3,1.165013e-11,6.680343e-12,50.0
285,-1.7987,2.7742,1f,0.6,3,1.103829e-11,6.12734e-12,50.0
286,0.656,-1.2719,1f,0.6,3,1.485562e-11,6.829455e-12,50.0
287,-0.4937,0.4482,1f,0.6,3,1.213242e-11,6.460383e-12,50.0
288,0.3209,1.4379,1f,0.6,3,1.142437e-11,6.719243e-12,50.0
289,-0.5189,-0.378,1f,0.6,3,1.266833e-11,6.452379e-12,50.0
290,0.5518,0.3415,1f,0.6,3,1.217523e-11,6.794988e-12,50.0
291,0.29,-0.1841,1f,0.6,3,1.249841e-11,6.708926e-12,50.0
292,0.8485,-0.7446,1f,0.6,3,1.288665e-11,6.894899e-12,50.0
293,-1.2438,0.6697,1f,0.6,3,1.171531e-11,6.233832e-12,50.0
294,0.6131,-1.1911,1f,0.6,3,1.320163e-11,6.815163e-12,50.0
295,0.3824,0.9694,1f,0.6,3,1.169635e-11,6.739264e-12,50.0
296,-1.8849,0.6073,1f,0.6,3,1.223689e-11,6.048102e-12,50.0
297,0.8013,0.2451,1f,0.6,3,1.225133e-11,6.878386e-12,50.0
298,-1.3209,0.8362,1f,0.6,3,1.216401e-11,6.211215e-12,50.0
299,-2.4502,-1.2897,1f,0.6,3,1.260024e-11,5.935762e-12,50.0
300,0.0,0.0,1f,0.6,3,1.291156e-11,6.958228e-12,100.0
301,-0.8014,-0.8294,1f,0.6,3,1.347768e-11,6.688016e-12,100.0
302,-0.2677,0.215,1f,0.6,3,1.276849e-11,6.863709e-12,100.0
303,1.6757,0.8946,1f,0.6,3,1.235973e-11,7.576526e-12,100.0
304,0.2014,1.0447,1f,0.6,3,1.22618e-11,7.029916e-12,100.0
305,-1.7987,2.7742,1f,0.6,3,1.110656e-11,6.378111e-12,100.0
306,0.656,-1.2719,1f,0.6,3,1.375774e-11,7.197712e-12,100.0
307,-0.4937,0.4482,1f,0.6,3,1.260605e-11,6.786459e-12,100.0
308,0.3209,1.4379,1f,0.6,3,1.200538e-11,7.073884e-12,100.0
309,-0.5189,-0.378,1f,0.6,3,1.316634e-11,6.78019e-12,100.0
310,0.5518,0.3415,1f,0.6,3,1.266354e-11,7.160281e-12,100.0
311,0.29,-0.1841,1f,0.6,3,1.30201e-11,7.064451e-12,100.0
312,0.8485,-0.7446,1f,0.6,3,1.328505e-11,7.268349e-12,100.0
313,-1.2438,0.6697,1f,0.6,3,1.243506e-11,6.546141e-12,100.0
314,0.6131,-1.1911,1f,0.6,3,1.37065e-11,7.18207e-12,100.0
315,0.3824,0.9694,1f,0.6,3,1.230072e-11,7.09603e-12,100.0
316,-1.8849,0.6073,1f,0.6,3,1.242377e-11,6.349526e-12,100.0
317,0.8013,0.2451,1f,0.6,3,1.265043e-11,7.25141e-12,100.0
318,-1.3209,0.8362,1f,0.6,3,1.232583e-11,6.522253e-12,100.0
319,-2.4502,-1.2897,1f,0.6,3,1.356133e-11,6.180407e-12,100.0
320,0.0,0.0,1f,0.6,3,1.313074e-11,7.162089e-12,125.0
321,-0.8014,-0.8294,1f,0.6,3,1.298098e-11,6.871789e-12,125.0
322,-0.2677,0.215,1f,0.6,3,1.302075e-11,7.064621e-12,125.0
323,1.6757,0.8946,1f,0.6,3,1.259508e-11,7.791569e-12,125.0
324,0.2014,1.0447,1f,0.6,3,1.242676e-11,7.236334e-12,125.0
325,-1.7987,2.7742,1f,0.6,3,1.138453e-11,6.554384e-12,125.0
326,0.656,-1.2719,1f,0.6,3,1.338386e-11,7.404527e-12,125.0
327,-0.4937,0.4482,1f,0.6,3,1.287404e-11,6.982124e-12,125.0
